date,predicted_faults
2024-04-30 00:00:00+05:30,4075.810021268498
2024-05-31 00:00:00+05:30,5339.584521894174
2024-06-30 00:00:00+05:30,5734.345022272519
2024-07-31 00:00:00+05:30,5857.654879040328
2024-08-31 00:00:00+05:30,5896.172716467133
2024-09-30 00:00:00+05:30,5908.204388864835
2024-10-31 00:00:00+05:30,5911.962677241245
2024-11-30 00:00:00+05:30,5913.136639684151
2024-12-31 00:00:00+05:30,5913.5033459289425
2025-01-31 00:00:00+05:30,5913.617892583124
2025-02-28 00:00:00+05:30,5913.653673091829
2025-03-31 00:00:00+05:30,5913.664849715121
